salary,job_id,bottomSalary,company,time,address,topSalary,job_name
1.5-2万/月,96423496,15.0,北京外企德科人力资源服务上海有限...,12-13,东莞,20.0,后端开发（Java或Python）-500强公司
1-1.5万/月,79635194,10.0,团贷网,12-14,东莞-南城区,15.0,系统运维工程师
0.6-1万/月,95058233,6.0,广州海晟科技有限公司,12-14,东莞,10.0,数据挖掘建模人员
25-50万/年,96889429,20.8333333333,井冈山聚客网络科技有限公司,12-14,东莞,41.6666666667,聚客   PHP技术主管经理
20-80万/年,87107961,16.6666666667,东莞材料基因高等理工研究院,12-14,东莞-松山湖区,66.6666666667,中子衍射工程材料谱仪科学家
4.5-6千/月,86609119,4.5,东莞华迈通信技术有限公司,12-14,东莞-南城区,6.0,运维工程师
1-1.5万/月,86037091,10.0,上海阿米特数据系统有限公司,12-14,东莞-寮步镇,15.0,高级软件开发工程师
2-2.5万/月,92395177,20.0,中国科学院云计算中心,12-14,东莞,25.0,大数据专家
0.7-1万/月,93880471,7.0,深圳市远望工业自动化设备有限公司,12-14,异地招聘,10.0,网页设计师
0.3-1万/月,92272971,3.0,深圳第二基金管理有限公司东莞分公司,12-14,东莞,10.0,量化分析师
0.8-1万/月,96582467,8.0,东莞市奥马实业投资有限公司,12-14,东莞-松山湖区,10.0,高级运维工程师
1-1.5万/月,87301376,10.0,东莞市沃德精密机械有限公司,12-14,东莞,15.0,Mac OS高级软件工程师
0.5-1万/月,90084326,5.0,广东广视通科教设备有限公司,12-14,东莞,10.0,运维工程师
0.4-2万/月,94091462,4.0,精锐动力科技（深圳）有限公司,12-14,东莞,20.0,软体开发工程师
0.6-1万/月,96651010,6.0,东莞璨鼎软件开发科技有限公司,12-14,东莞,10.0,软件开发工程师
1-1.5万/月,96024165,10.0,广东建邦计算机软件股份有限公司,12-13,东莞-东城区,15.0,大数据架构师
4.5-6千/月,90283564,4.5,东莞市华美食品有限公司,12-13,东莞-茶山镇,6.0,网页设计师/前端运营
1-1.5万/月,93667588,10.0,广东深蓝易网信息科技有限公司,12-12,东莞-南城区,15.0,网络爬虫工程师/数据采集
0.6-1万/月,93846620,6.0,东莞同济大学研究院,12-12,东莞-松山湖区,10.0,量化研究员
15-20万/年,87296334,12.5,东莞证券股份有限公司,12-12,异地招聘,16.6666666667,信息技术部-系统测试岗
1.5-3万/月,95102772,15.0,广东美狐科技有限公司,12-12,东莞,30.0,系统开发工程师
1.5-2万/月,95185167,15.0,东莞道元自动化技术有限公司,12-12,东莞,20.0,高级软件工程师
0.7-1万/月,96750762,7.0,东莞东聚电子电讯制品有限公司,12-11,东莞-石碣镇,10.0,软件测试工程师
